0,01;1564-001;313
0,02;1565-002;
0,05;1258-005;
0,10;1098-010;
0,15;1549-015;
0,20;359-020;
0,25;1067-025;
0,30;320-030;
0,50;252-050;
0,75;1571-075;
0,80;1103-080;
1;1-1;
1,01;5435-101;
1,02;1680-102;
1,03;1751-103;
1,04;2898-104;
1,05;964-105;
1,06;960-106;
1,25;629-125;
1,33;1014-133;
1,50;271-150;
1,75;614-175;
1,95583;7321-195583;
2;2-2;
2,02;4911-202;
2,04;3026-204;
2,10;321-210;
2,50;250-250;
2,60;878-260;
2,80;1105-280;
3;3-3;
3,04;3868-304;
3,14;1656-314;
3,33;3088-333;
4;4-4;
4,06;7214-406;
4,09;4131-409;
4,20;1369-420;
4,50;384-450;
5;5-5;
5,08;10955-508;
6;6-6;
6,50;381-650;
6,55957;7327-655957;
7;7-7;
7,20;1957-720;
7,50;251-750;
7,60;1942-760;
8;8-8;
9;9-9;
9,50;456-950;
10;10-10;
11;11-11;
12;12-12;
13;13-13;
14;14-14;
15;15-15;
15,65;7328-1565;
16;16-16;
17;17-17;
18;18-18;
19;19-19;
19,18;25275-1918;
20;20-20;
21;21-21;
22;22-22;
24;24-24;
25;25-25;
26;26-26;
27;27-27;
28;28-28;
30;30-30;
32;32-32;
33;33-33;
35;35-35;
36;36-36;
37;37-37;
39;39-39;
40;40-40;
42;42-42;
44;44-44;
45;45-45;
48;48-48;
50;50-50;
54;54-54;
55;55-55;
56;56-56;
60;60-60;
64;64-64;
65,5957;9476-655957;
66;66-66;
70;70-70;
72;72-72;
75;75-75;
80;80-80;
82;82-82;
85;85-85;
88;88-88;
90;90-90;
96;96-96;
100;100-100;
105;105-105;
108;108-108;
120;220-120;
125;237-125;
128;796-128;
130;246-130;
136;1729-136;
140;222-140;
146;811-146;
150;224-150;
160;293-160;
175;291-175;
180;340-180;
200;230-200;
225;554-225;
240;221-240;
250;226-250;
300;257-300;
310;332-310;
320;292-320;
350;225-350;
400;261-400;
450;324-450;
480;341-480;
500;228-500;
525;498-525;
550;351-550;
600;265-600;
640;1766-640;
700;469-700;
750;339-750;
777;7562-777;
800;238-800;
860;583-860;
870;736-870;
900;266-900;
920;6111-920;
960;343-960;
1.000;229-1000;
1.001;8366-1001;
1.100;670-1100;
1.118;35251-1118;
1.200;240-1200;
1.250;631-1250;
1.300;660-1300;
1.500;273-1500;
1.600;718-1600;
1.766;35086-1766;
1.957;7322-1957;
2.000;248-2000;
2.012;7350-2012;
2.014;9987-2014;
2.018;8987-2018;
2.200;286-2200;
2.400;410-2400;
2.500;274-2500;
2.800;379-2800;
3.000;241-3000;
3.200;680-3200;
3.500;277-3500;
3.750;2304-3750;
4.000;234-4000;
4.400;651-4400;
4.500;285-4500;
5.000;236-5000;
6.000;242-6000;
6.400;4635-6400;
7.000;310-7000;
7.500;580-7500;
7.777;744-7777;
8.000;283-8000;
9.000;256-9000;
10.000;247-10000;
12.000;245-12000;
12.500;517-12500;
12.800;6078-12800;
15.000;249-15000;
16.000;364-16000;
18.888;34452-18888;
19.000;778-19000;
20.000;275-20000;
25.000;253-25000;
30.000;362-30000;
30.100;27181-30100;
35.000;363-35000;
40.000;311-40000;
50.000;312-50000;
60.000;313-60000;
70.000;592-70000;
75.000;588-75000;
80.000;316-80000;
100.000;314-100000;
125.000;495-125000;
150.000;318-150000;
200.000;315-200000;
250.000;591-250000;
300.000;448-300000;
400.000;430-400000;
500.000;454-500000;
655.957;7330-655957;
750.000;5922-750000;
850.000;5928-850000;
1.000.000;496-1000000;
1.500.000;4008-1500000;
2.000.000;2206-2000000;
2.500.000;5559-2500000;
3.000.000;4464-3000000;
4.000.000;3254-4000000;
5.000.000;464-5000000;
7.500.000;7323-7500000;
10.000.000;3255-10000000;
15.000.000;7320-15000000;
20.000.000;3256-20000000;
25.000.000;4875-25000000;
30.000.000;3257-30000000;
50.000.000;3258-50000000;
60.000.000;7324-60000000;
100.000.000;3259-100000000;
150.000.000;7325-150000000;
500.000.000;3261-500000000;
1.000.000.000;3262-1000000000;
2.500.000.000;23551-2500000000;
10.000.000.000;7574-10000000000;
50.000.000.000;7594-50000000000;
100.000.000.000;7595-100000000000;
200.000.000.000;7596-200000000000;
250.000.000.000;24980-250000000000;
500.000.000.000;7597-500000000000;
1.000.000.000.000;7598-1000000000000;
10.000.000.000.000;7575-10000000000000;
20.000.000.000.000;7601-20000000000000;
0.12½;7319-012%C2%BD;
⅛;9209-%E2%85%9B;
¼;1065-%C2%BC;
⅓;24720-%E2%85%93;
½;948-%C2%BD;
¾;22567-%C2%BE;
1(10c);10409-110c;
1(6p);15747-16p;
1⁄10;5399-110;
1⁄100;7566-1100;
1⁄12;7309-112;
1⁄128;16198-1128;
1⁄13;7317-113;
1⁄14;19554-114;
1⁄15;6642-115;
1⁄16;7312-116;
1⁄17;19216-117;
1⁄192;7313-1192;
1⁄20;7066-120;
1⁄21;30592-121;
1⁄24;7308-124;
1⁄25;7065-125;
1⁄26;7316-126;
1⁄3;38937-13;
1⁄32;7315-132;
1⁄36;18483-136;
1⁄40;2040-140;
1⁄44;17175-144;
1⁄48;7310-148;
1⁄5;2045-15;
1⁄50;16422-150;
1⁄52;14196-152;
1⁄6;1069-16;
1⁄600;7318-1600;
1⁄64;15155-164;
1⁄66;17174-166;
1⁄7;10756-17;
1⁄80;7311-180;
1⁄84;18360-184;
1⁄9;12961-19;
1⁄96;7314-196;
10⁄10;5374-1010;
10½;1003-10%C2%BD;
1¼;1135-1%C2%BC;
1⅓;9195-1%E2%85%93;
1½;957-1%C2%BD;
1¾;1157-1%C2%BE;
12½;959-12%C2%BD;
15½;961-15%C2%BD;
2(20c);10410-220c;
2+6(25c);10411-2625c;
2⁄10;2028-210;
2⁄3;2068-23;
2⁄4;6504-24;
2⁄5;10949-25;
20⁄10;1862-2010;
2¼;5986-2%C2%BC;
2½;949-2%C2%BD;
3 3⁄8;16781-3_38;
3⁄4;7331-34;
