Abjasia;248-Abjasia;
Afars e Issas francés;389-Afars_e_Issas_franc%C3%A9s;
Afganistán;1-Afganist%C3%A1n;
África Ecuatorial Francesa;416-%C3%81frica_Ecuatorial_Francesa;
África Occidental Británica;379-%C3%81frica_Occidental_Brit%C3%A1nica;
África Occidental Francesa;301-%C3%81frica_Occidental_Francesa;
África Oriental Alemana;321-%C3%81frica_Oriental_Alemana;
África Oriental Británica;350-%C3%81frica_Oriental_Brit%C3%A1nica;
Ajman;289-Ajman;
Albania;2-Albania;
Alderney;261-Alderney;
Alemania, Estados;331-Alemania_Estados;
Alemania, Imperio;273-Alemania_Imperio;
Alemania, República de Weimar;272-Alemania_Rep%C3%BAblica_de_Weimar;
Alemania, República Democrática;254-Alemania_Rep%C3%BAblica_Democr%C3%A1tica;
Alemania, República Federal;81-Alemania_Rep%C3%BAblica_Federal;
Alemania, Tercer Reich;260-Alemania_Tercer_Reich;
Andorra;5-Andorra;
Angola;6-Angola;
Anguilla;7-Anguilla;
Antigua y Barbuda;9-Antigua_y_Barbuda;
Antiguo Egipto;288-Antiguo_Egipto;
Antillas Francesas;317-Antillas_Francesas;
Antillas Holandesas;152-Antillas_Holandesas;
Appenzell;2265-Appenzell;
Arabia del Sur;323-Arabia_del_Sur;
Arabia Saudí;188-Arabia_Saud%C3%AD;
Araucania-Patagonia;299-Araucania-Patagonia;
Argelia;3-Argelia;
Argentina;10-Argentina;
Argentina, Buenos Aires;1084-Argentina_Buenos_Aires;
Argentina, Confederación;402-Argentina_Confederaci%C3%B3n;
Argentina, Córdoba;1085-Argentina_C%C3%B3rdoba;
Argentina, Entre Ríos;1795-Argentina_Entre_R%C3%ADos;
Argentina, La Rioja;1790-Argentina_La_Rioja;
Argentina, Mendoza;1794-Argentina_Mendoza;
Argentina, Provincias Unidas del Rio de la Plata;1796-Argentina_Provincias_Unidas_del_Rio_de_la_Plata;
Argentina, Salta;1791-Argentina_Salta;
Argentina, Santiago del Estero;1793-Argentina_Santiago_del_Estero;
Argentina, Tucumán;1792-Argentina_Tucum%C3%A1n;
Argovia;2264-Argovia;
Armenia;11-Armenia;
Artois, Condado de;2340-Artois_Condado_de;
